business_name,city,state,website,phone,contact_method,industry,likely_opportunity,priority_score,to_email,status,email_sent,sent_at,followup_due,scan_notes,contact_note,contactability,facebook_url,instagram_url,contact_form_url,social_channels,social_dm_text,lat,lng
Cropp's Door Service Inc.,Loves Park,IL,https://www.croppsdoorservice.com,8152822702,email,garage_door,,,croppsdoor@sbcglobal.net,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/337193389741135,https://www.instagram.com/cropps.eric/,https://www.croppsdoorservice.com/request-a-quote,"email_found,facebook_found,instagram_found",Hey Cropp's Door Service Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.339766,-89.016932
Rock River Door Company,Rockton,IL,http://rockriverdoor.com,8156243667,email,garage_door,,,rockriverdoor@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/rockriverpaint,https://www.instagram.com/rockriverdoor/,http://rockriverdoor.com/contact-us/,"email_found,facebook_found,instagram_found",Hey Rock River Door Company — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockton that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.459252,-89.0673285
Raynor Door Authority of Rockford,Loves Park,IL,https://raynordoorauthority.com/locations/rockford,8157062896,email,garage_door,,,rockfordservice@raynordoorauthority.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/RaynorRockford,https://www.instagram.com/raynordoorauthority/,,"email_found,facebook_found,instagram_found",Hey Raynor Door Authority of Rockford — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.361452899999996,-89.0155837
Superior Overhead Door,Crystal Lake,IL,https://callsuperiordoor.com,8157881100,email,garage_door,,,info@callsuperiordoor.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,https://www.facebook.com/SuperiorOverheadGarageDoor,https://www.instagram.com/superior_overhead_door/,https://callsuperiordoor.com/contact/,"email_found,facebook_found,instagram_found",Hey Superior Overhead Door — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Crystal Lake that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2673835,-88.369124
Barcol Door Company Inc.,Loves Park,IL,https://barcoldoor.com,8156330545,email,garage_door,,,bea0545@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,,,https://barcoldoor.com/contact/,email_found,Hey Barcol Door Company Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3193505,-89.0385022
Perfect Temp Heating & Cooling,Loves Park,IL,https://perfecttemprockford.com/lovespark-il-hvac,8152965759,email,hvac,,,perfecttempheatingcooling@gmail.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/perfect.temp.rkfd,,https://perfecttemprockford.com/contact-us/,"email_found,facebook_found",Hey Perfect Temp Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.327473,-89.0456584
Absolute Value Heating & Cooling - Rockford,Rockford,IL,http://goabsolutevalue.com,8472509625,email,hvac,,,absolutevalue06@gmail.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/goabsolutevalue,,,"email_found,facebook_found",Hey Absolute Value Heating & Cooling - Rockford — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2865246,-89.026443
"Improved Comfort Rockford HVAC & Furnace Repair Pros, Inc.",Rockford,IL,https://hvacrockfordil.com,7799707066,email,hvac,,,info@yourcompany.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,,,https://hvacrockfordil.com/schedule-page-6932,email_found,"Hey Improved Comfort Rockford HVAC & Furnace Repair Pros, Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!",42.2671383,-89.0815283
MP Heating & Air Conditioning,Machesney Park,IL,http://www.mphvac.com,8156399190,email,hvac,,,info@mphvac.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/MPHVAC,,,"email_found,facebook_found",Hey MP Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3835871,-89.0192028
Gilley's Heating & Air Conditioning,Rockford,IL,http://www.gilleysheatingandair.com,8159621927,email,hvac,,,service@gilleysheatingandair.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/GilleysHeatingAndAirConditioning,https://www.instagram.com/GilleysHVAC/,http://www.gilleysheatingandair.com/contact,"email_found,facebook_found,instagram_found",Hey Gilley's Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3006728,-89.08618659999999
Massie Heating and Air Conditioning,Loves Park,IL,https://www.massiehvac.com,8159887284,website,hvac,,,,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,website_contact_only,,,https://www.massiehvac.com/request-form,contact_form_only,Hey Massie Heating and Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3441937,-89.0123947
Gough Heating & Air Conditioning Ltd,Loves Park,IL,http://goughheating.com,8156337130,email,hvac,,,stephanie@goughheating.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/goughheating,,,"email_found,facebook_found",Hey Gough Heating & Air Conditioning Ltd — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Loves Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3107037,-89.05928840000001
Latino Heating & Cooling Inc,Machesney Park,IL,https://latinoheatingcoolinginc.com,8155191542,email,hvac,,,v.manzanarez@yahoo.com,drafted,,,,area search lat=42.3077 lng=-89.0428 r=50000m,,email_found,https://www.facebook.com/latinoheatingcoolinginc,,https://latinoheatingcoolinginc.com/contact,"email_found,facebook_found",Hey Latino Heating & Cooling Inc — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.327733699999996,-89.0533378
"Affordable American Air Heating, Cooling & Energy services",Lombard,IL,http://www.affordableamericanair.net,6304822995,email,hvac,,,affordableaahvac@yahoo.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/AffordableAmer1,,http://www.affordableamericanair.net/#Contact,"email_found,facebook_found","Hey Affordable American Air Heating, Cooling & Energy services — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Lombard that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.8608537,-88.00919259999999
Any Temp Heating & Cooling,Addison,IL,https://any-temp.com,6303267814,email,hvac,,,workorder@any-temp.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/anytemp,,https://any-temp.com/contact-us/,"email_found,facebook_found",Hey Any Temp Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Addison that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.9351653,-88.0122669
Global Heating and Cooling | HVAC,Chicago,IL,https://www.globalheatingcooling.us,7738013734,email,hvac,,,info@globalheatingcooling.us,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ghcus,,https://www.globalheatingcooling.us/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8,"email_found,facebook_found",Hey Global Heating and Cooling | HVAC — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Chicago that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.898502,-87.667039
"Freedom Heating, Cooling & Electrical",Franklin Park,IL,https://freedomheatcool.com,8472509265,email,hvac,,,info@freedomheatcool.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/freedomheatingandair,https://www.instagram.com/freedom.hvac/,https://freedomheatcool.com/contact/,"email_found,facebook_found,instagram_found","Hey Freedom Heating, Cooling & Electrical — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Franklin Park that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.930091,-87.874253
Planz Heating & Air Conditioning,Villa Park,IL,http://www.planzheating.com,6302792995,email,hvac,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/PlanzHeating,,,"email_found,facebook_found",Hey Planz Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Villa Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.90302820000001,-87.98754149999999
"Paragon Heating, Cooling, and Tankless",Villa Park,IL,https://www.pmcomfort.com,8475824570,email,hvac,,,customerservice@pmcomfort.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ParagonMechanical,https://www.instagram.com/paragonmechanical/,https://www.pmcomfort.com/shop/#/journey/instant_quote,"email_found,facebook_found,instagram_found","Hey Paragon Heating, Cooling, and Tankless — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Villa Park that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.9040302,-87.9814498
"Pro Air Heating Cooling and Electrical, HVAC Downers Grove, Naperville, Hinsdale, and Electrician",Downers Grove,IL,https://www.proairhce.com,6306415489,email,hvac,,,proservice@proairhce.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ProHCE,https://www.instagram.com/proairheatingcoolingelectrical/,,"email_found,facebook_found,instagram_found","Hey Pro Air Heating Cooling and Electrical, HVAC Downers Grove, Naperville, Hinsdale, and Electrician — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Downers Grove that replies to missed callers automatically. Happy to send a quick example — just let me know!",41.7944329,-88.009993
Chicago Heating & Cooling,Chicago,IL,http://www.chicagoheatingandcooling.com,3128525152,email,hvac,,,info@chicagoheatingandcooling.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/AlwaysThereApplianceRepair,https://www.instagram.com/alwaystherehomesolutions/,http://www.chicagoheatingandcooling.com/schedule-furnance-tune-up,"email_found,facebook_found,instagram_found",Hey Chicago Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Chicago that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.888939,-87.63294499999999
HvacTech Heating And Cooling,Franklin Park,IL,http://www.hvactechusa.com,8473432840,email,hvac,,,hvactechchicago@gmail.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/2008,https://www.instagram.com/hvactechh/,http://www.hvactechusa.com/contact-us,"email_found,facebook_found,instagram_found",Hey HvacTech Heating And Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Franklin Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.9408746,-87.8686828
Comfort Services Heating & Air Conditioning,Downers Grove,IL,https://www.comfortserv.com,6305196980,email,hvac,,,cs@comfortserv.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/ComfortServicesHeatingAirConditioning,https://www.instagram.com/comfort.services/,https://www.comfortserv.com/contact-us/,"email_found,facebook_found,instagram_found",Hey Comfort Services Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Downers Grove that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.807134,-88.03450319999999
Four Seasons Garage Doors,Roselle,IL,https://fourseasonsgd.com,6303942144,email,garage_door,,,info@fourseasonsgd.com,drafted,,,,area search lat=41.9143 lng=-88.0334 r=50000m,,email_found,https://www.facebook.com/FourSeasonsGD,,https://fourseasonsgd.com/contact/,"email_found,facebook_found",Hey Four Seasons Garage Doors — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Roselle that replies to missed callers automatically. Happy to send a quick example — just let me know!,41.985749899999995,-88.0905899
Integrity Auto Care,South Beloit,IL,http://www.beloitautorepair.com,8159574159,email,auto,,,leon.anderson@integrity-auto.com,sent,true,2026-03-21T14:25:24.553382+00:00,,area search lat=42.5097 lng=-89.0799 r=50000m,,email_found,https://www.facebook.com/IntegrityAutoCareSouthBeloit,,http://www.beloitautorepair.com/scheduled-maintenance,"email_found,facebook_found",Hey Integrity Auto Care — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.470016199999996,-89.0511035
Andys Automotive Repair,Rockford,IL,https://www.mysynchrony.com/mmc/NT233584807,8156706916,website,auto,,,,drafted,,,,website unreachable; area search lat=42.5097 lng=-89.0799 r=50000m,,website_unreachable,,,,no_contact_channel,Hey Andys Automotive Repair — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2592642,-89.079972
Fearnside's Fix All,Beloit,WI,http://fearnsidesfixall.com,6083652030,website,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,website_contact_only,https://www.facebook.com/fearnsidesfixall,,,facebook_found,Hey Fearnside's Fix All — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.5271207,-89.04596719999999
Butitta Auto – Beloit,Beloit,WI,https://greatwater360autocare.com/stores/butitta-auto-beloit,6083138800,website,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,website_contact_only,https://www.facebook.com/butittaautobeloit,,,facebook_found,Hey Butitta Auto – Beloit — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.5069149,-89.0382514
Road Medic,Beloit,WI,,6083651338,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey Road Medic — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.542752199999995,-89.02323539999999
"Hogans Auto Repair, LLC",South Beloit,IL,,8153897271,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,"Hey Hogans Auto Repair, LLC — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!",42.488197299999996,-89.03379819999999
Rikky's Auto and Sound,Beloit,WI,,6084732462,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey Rikky's Auto and Sound — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.519833299999995,-89.06468369999999
Premier Auto Repairs,Rockford,IL,https://premierautorockford.com,8153296134,email,auto,,,premierautorepairs815@gmail.com,sent,true,2026-03-21T13:03:25.441545+00:00,,area search lat=42.5097 lng=-89.0799 r=50000m,,email_found,,,https://premierautorockford.com/contact/,email_found,Hey Premier Auto Repairs — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.298187,-89.10685869999999
Auto Clinic Of Rockford,Rockford,IL,https://www.autoclinicofrockford.com,8153984010,website,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,website_contact_only,https://www.facebook.com/autoclinicofrockfordinc,,https://www.autoclinicofrockford.com/request-a-service,"facebook_found,contact_form_only",Hey Auto Clinic Of Rockford — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2641825,-89.0348845
REAL'S AUTO REPAIR,South Beloit,IL,,7794755105,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey REAL'S AUTO REPAIR — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.495899300000005,-89.05578589999999
Marks Auto Service of Roscoe,Roscoe,IL,https://marksautoil.com,8156695996,email,auto,,,tad@marksautoil.com,sent,true,2026-03-21T15:35:15.442957+00:00,,area search lat=42.5097 lng=-89.0799 r=50000m,,email_found,https://www.facebook.com/2008,,,"email_found,facebook_found",Hey Marks Auto Service of Roscoe — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Roscoe that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.4570806,-89.0154312
Ace Auto Sales & Mechanic,South Beloit,IL,,8153899000,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey Ace Auto Sales & Mechanic — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.4957299,-89.0357351
Buzz's Garage,Beloit,WI,,6083622252,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey Buzz's Garage — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.549194899999996,-89.02114159999999
J D Automotive Inc,Rockton,IL,,8156241017,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey J D Automotive Inc — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockton that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.458339599999995,-89.0770368
ADAMS AUTO REPAIR,Machesney Park,IL,,,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey ADAMS AUTO REPAIR — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3720524,-89.0358881
Meticulous transmission and automotive repair,Roscoe,IL,http://www.meticuloustransmissions.com,8159802704,website,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,website_contact_only,,,http://www.meticuloustransmissions.com/contact-us.html,contact_form_only,Hey Meticulous transmission and automotive repair — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Roscoe that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.4574973,-89.025796
South Beloit Auto Repair,South Beloit,IL,,8153893050,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey South Beloit Auto Repair — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.4835114,-89.0203803
The Shop,Beloit,WI,https://www.autorepairshopbeloitwi.com,6084492077,email,auto,,,theshop11@yahoo.com,sent,true,2026-03-21T13:18:25.502567+00:00,,area search lat=42.5097 lng=-89.0799 r=50000m,,email_found,,,https://www.autorepairshopbeloitwi.com/request-service,email_found,Hey The Shop — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.511012699999995,-89.0511317
"Tony's Standard Service, Inc.",South Beloit,IL,,8153894078,phone,auto,,,,new,,,,directory URL stripped from Places result; area search lat=42.5097 lng=-89.0799 r=50000m,,directory_or_ambiguous,,,,no_contact_channel,"Hey Tony's Standard Service, Inc. — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in South Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!",42.491941,-89.026488
Roberts and sons Auto service,Beloit,WI,,6084493952,phone,auto,,,,drafted,,,,area search lat=42.5097 lng=-89.0799 r=50000m,,no_website,,,,no_contact_channel,Hey Roberts and sons Auto service — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Beloit that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.5024253,-89.0399777
Autocare of Roscoe,Roscoe,IL,https://greatwater360autocare.com/stores/autocare-of-roscoe,8156334407,website,auto,,,,drafted,,,,area search lat=42.4077 lng=-89.0849 r=1000m,,website_contact_only,https://www.facebook.com/autocareroscoe,,,facebook_found,Hey Autocare of Roscoe — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Roscoe that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3914896,-89.01333989999999
Vettore's Auto Care Center,Machesney Park,IL,http://www.vettores.com,8156360021,email,auto,,,vettores2024@gmail.com,sent,true,2026-03-21T14:25:30.741232+00:00,,area search lat=42.4077 lng=-89.0849 r=1000m,,email_found,https://www.facebook.com/pages,,http://www.vettores.com/request-appointment,"email_found,facebook_found",Hey Vettore's Auto Care Center — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3443093,-89.05068829999999
Carz R Us,Machesney Park,IL,http://carzrus.net,8158774277,website,auto,,,,drafted,,,,area search lat=42.4077 lng=-89.0849 r=1000m,,website_contact_only,https://www.facebook.com/carzrusauto,https://www.instagram.com/_carzrus_/,,"facebook_found,instagram_found",Hey Carz R Us — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Machesney Park that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.3674621,-89.0401763
